PathA,PathB,Similarity,Notebook similarity
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_1.py,87,83
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_10.py,84,81
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_11.py,89,86
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_12.py,65,83
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_13.py,66,82
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_14.py,88,80
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_15.py,90,89
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_16.py,87,85
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_17.py,91,90
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_18.py,67,92
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_19.py,64,69
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_2.py,86,82
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_20.py,90,86
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_21.py,70,85
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_22.py,67,90
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_23.py,91,91
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_24.py,93,86
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_25.py,85,80
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_26.py,85,79
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_27.py,67,85
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_28.py,88,84
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_29.py,89,92
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_3.py,66,84
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_30.py,85,81
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_31.py,90,92
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_32.py,89,86
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_33.py,64,84
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_34.py,89,84
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_35.py,94,89
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_36.py,91,90
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_37.py,86,78
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_38.py,66,78
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_39.py,91,85
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_4.py,63,61
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_40.py,92,92
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_41.py,92,89
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_42.py,89,83
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_43.py,91,88
./submissions/task01/auto/submission_0.py,./submissions/task01/auto/submission_44.py,89,83
