PathA,PathB,Similarity,Notebook similarity
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_1.py,78,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_10.py,75,85
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_11.py,69,79
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_12.py,62,79
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_13.py,67,85
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_14.py,70,79
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_15.py,63,81
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_16.py,57,77
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_17.py,66,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_18.py,70,66
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_19.py,66,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_2.py,77,82
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_20.py,62,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_21.py,71,78
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_22.py,66,85
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_23.py,61,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_24.py,76,76
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_25.py,77,84
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_26.py,79,74
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_27.py,63,79
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_28.py,74,84
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_29.py,56,76
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_3.py,66,69
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_30.py,63,84
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_31.py,67,78
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_32.py,60,85
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_33.py,62,76
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_34.py,61,84
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_35.py,65,82
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_36.py,76,78
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_37.py,61,71
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_38.py,81,87
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_39.py,76,83
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_4.py,68,83
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_40.py,63,78
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_41.py,65,46
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_42.py,57,73
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_43.py,53,72
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_44.py,56,83
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_45.py,68,84
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_46.py,73,77
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_47.py,71,79
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_48.py,59,81
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_49.py,71,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_5.py,61,80
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_50.py,56,83
./submissions/task02/auto/submission_0.py,./submissions/task02/auto/submission_51.py,64,79
