PathA,PathB,Similarity,Notebook similarity
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_1.py,83,70
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_10.py,84,72
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_11.py,83,69
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_12.py,83,68
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_13.py,82,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_14.py,70,64
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_15.py,86,82
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_16.py,85,79
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_17.py,83,83
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_18.py,79,69
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_19.py,74,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_2.py,84,63
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_20.py,86,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_21.py,85,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_22.py,85,74
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_23.py,85,76
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_24.py,86,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_25.py,84,75
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_26.py,85,79
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_27.py,86,74
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_28.py,86,81
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_29.py,85,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_3.py,83,82
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_30.py,82,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_31.py,83,74
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_32.py,84,72
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_33.py,85,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_34.py,85,70
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_35.py,86,72
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_36.py,84,56
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_37.py,84,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_38.py,87,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_39.py,88,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_4.py,45,64
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_40.py,83,82
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_41.py,85,73
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_42.py,84,76
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_43.py,83,71
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_44.py,86,82
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_45.py,74,83
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_46.py,84,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_47.py,70,70
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_48.py,75,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_49.py,83,83
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_5.py,86,84
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_50.py,80,73
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_51.py,85,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_52.py,86,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_53.py,71,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_54.py,73,56
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_55.py,82,66
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_56.py,88,72
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_57.py,89,86
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_58.py,82,76
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_59.py,89,81
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_6.py,89,81
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_60.py,87,79
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_61.py,86,82
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_62.py,71,73
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_63.py,87,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_64.py,83,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_65.py,76,73
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_66.py,86,79
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_67.py,84,80
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_68.py,80,66
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_69.py,85,81
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_7.py,86,74
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_70.py,85,76
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_71.py,82,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_72.py,87,83
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_73.py,84,74
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_74.py,86,79
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_75.py,84,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_76.py,84,77
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_77.py,87,78
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_78.py,82,73
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_79.py,87,86
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_80.py,87,69
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_81.py,79,69
./submissions/task06/auto/submission_0.py,./submissions/task06/auto/submission_9.py,85,75
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_10.py,87,71
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_11.py,75,71
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_12.py,86,64
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_13.py,89,82
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_14.py,77,41
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_15.py,89,73
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_16.py,88,79
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_17.py,86,78
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_18.py,91,66
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_19.py,88,74
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_2.py,89,65
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_20.py,84,37
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_21.py,89,81
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_22.py,86,70
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_23.py,88,79
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_24.py,74,79
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_25.py,88,77
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_26.py,85,38
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_27.py,87,69
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_28.py,71,72
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_29.py,88,73
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_3.py,86,78
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_30.py,88,70
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_31.py,87,73
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_32.py,87,76
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_33.py,89,70
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_34.py,89,73
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_35.py,88,72
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_36.py,83,55
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_37.py,85,74
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_38.py,90,77
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_39.py,87,73
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_4.py,45,63
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_40.py,91,80
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_41.py,89,39
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_42.py,86,78
./submissions/task06/auto/submission_1.py,./submissions/task06/auto/submission_43.py,82,69
